Year,T,H,P
1983,26.81,6.16,0
1983,26.18,5.68,0
1983,27.9,6.16,0
1983,27.3,6.9,0
1983,27.76,6.04,0
1983,27.78,8.24,0
1983,28.41,7.02,0
1983,31.87,6.9,0
1983,34.12,7.45,0
1983,33.63,6.35,0
1983,32.99,6.96,0
1983,32.17,7.87,0
1983,31.89,5.13,0
1983,31.89,3.97,0
1983,33.59,3.48,0
1983,35.27,4.64,0
1983,35.94,5.49,0.01
1983,35.87,6.84,0.01
1983,31.48,5.13,0
1983,27.52,4.03,0
1983,28.29,4.88,0
1983,30.48,4.64,0
1983,32.2,5.8,0
1983,32.87,6.59,0.03
1983,32.52,10.56,0.35
1983,33.54,9.52,0.01
1983,33.55,6.96,0
1983,33.13,6.84,0
1983,30.44,5.43,0
1983,30.15,5.19,0
1983,29.3,5.37,0
1983,30.33,6.29,0
1983,32.38,5.92,0
1983,34.65,7.57,0
1983,35.36,11.41,3.03
1983,34.19,12.33,0.57
1983,35.19,9.89,0.03
1983,34.8,8.42,0
1983,34.38,8.97,0
1983,35.9,12.02,1.27
1983,36.02,12.51,5.31
1983,30.61,12.63,1.17
1983,31.2,15.14,4.08
1983,28.4,17.27,5.99
1983,29.84,14.83,0.8
1983,30.83,11.72,0.02
1983,32.02,11.11,0.07
1983,34.31,11.35,0.9
1983,33.05,14.47,6.04
1983,27.32,18.98,18.47
1983,26.8,18.62,21.55
1983,25.48,16.72,16.49
1983,25.48,14.34,7.9
1983,26.76,12.02,0.09
1983,27.05,10.99,0.08
1983,25.69,9.52,0
1983,25.19,8,0
1983,26.15,8.12,0
1983,26.8,9.16,0
1983,29.01,9.09,0
1983,30.4,9.83,0
1983,31.87,10.8,0
1983,31.54,10.86,0
1983,30.85,9.09,0
1983,31.46,10.68,0
1983,31.51,10.19,0.05
1983,29.81,13.12,0.04
1983,32.37,12.94,0
1983,31.7,9.34,0
1983,30.32,8.06,0
1983,30.41,8.42,0
1983,31.18,9.95,0.66
1983,30.88,10.25,0.02
1983,30.86,10.56,0
1983,31.99,10.93,0
1983,32.18,9.52,0.01
1983,33.16,9.64,0.05
1983,32.66,10.74,0.01
1983,32.11,12.27,0.01
1983,32.21,10.07,0
1983,31.46,9.58,0
1983,31.3,13.43,0
1983,31.17,10.44,0
1983,30.4,9.09,0.15
1983,27.19,12.15,11.46
1983,26.71,15.08,5.81
1983,28.51,10.01,0
1983,29.26,11.72,0.26
1983,27.19,9.64,1.4
1983,25.72,7.45,0.13
1983,26.74,10.56,6.01
1983,25.18,10.5,0.27
1983,23.02,7.63,0
1983,21.9,7.75,0.05
1983,20.65,8.24,0.46
1983,19.95,8.36,0.92
1983,19.71,8.67,0.14
1983,21.15,6.96,0
1983,22.1,7.08,1.56
1983,22.62,9.22,8.3
1983,22.2,8.97,1.21
1983,23,8.36,0.05
1983,23.55,9.64,1.28
1983,23.59,9.46,0
1983,23.83,8.85,0.02
1983,21.8,6.65,0
1983,22.89,5.68,0
1983,23.38,5.13,0
1983,22.97,6.04,0
1983,19.92,6.04,0
1983,19.79,5.8,0
1983,21.23,6.29,0
1983,20.94,7.45,0.04
1983,21.48,6.77,0
1983,22.4,6.23,0
1983,22.55,5.43,0
1983,22.51,5.55,0
